,County,Year,FIPS,WBGT Days above 85,WBGT Hours above 85,WBGT Days above 90,WBGT Hours above 90,WBGT Av. 24h high JJA,WBGT Av. 24h low JJA
544,"Massac County, IL",2020,17127.0,0,0,0,0,77.92470885152302,68.59200010484513
545,"Massac County, IL",2021,17127.0,0,0,0,0,78.09826560843017,68.89524963244693
546,"Massac County, IL",2022,17127.0,5,0,0,0,78.55099038953765,68.64545654516839
547,"Massac County, IL",2023,17127.0,7,0,0,0,77.62510916348197,67.47292780392664
548,"Massac County, IL",2024,17127.0,0,0,0,0,78.03962941980897,67.53654613374714
549,"Mcdonough County, IL",2016,17109.0,3,9,0,0,76.75829193224654,65.55084784304667
550,"Mcdonough County, IL",2017,17109.0,1,4,0,0,74.90197531528803,61.746980820430906
551,"Mcdonough County, IL",2018,17109.0,0,0,0,0,76.72170944825417,64.9247013921294
552,"Mcdonough County, IL",2019,17109.0,1,4,0,0,75.11262277927382,63.684198954356845
553,"Mcdonough County, IL",2020,17109.0,0,0,0,0,76.04806262716251,63.87662461319383
554,"Mcdonough County, IL",2021,17109.0,0,0,0,0,76.34151171670064,64.68284362396962
555,"Mcdonough County, IL",2022,17109.0,2,0,0,0,75.809914143584,63.738700746109814
556,"Mcdonough County, IL",2023,17109.0,6,0,0,0,74.94023768507806,62.707869257862164
557,"Mcdonough County, IL",2024,17109.0,3,0,0,0,75.38269346347853,63.781647491574084
558,"Mchenry County, IL",2016,17111.0,0,0,0,0,73.31831503026662,61.922600771289304
559,"Mchenry County, IL",2017,17111.0,0,0,0,0,70.95741149423077,59.22707505559762
560,"Mchenry County, IL",2018,17111.0,1,3,0,0,72.98750955439662,61.695791186456546
561,"Mchenry County, IL",2019,17111.0,1,1,0,0,71.95927943662801,60.34917068288782
562,"Mchenry County, IL",2020,17111.0,0,0,0,0,73.52480995041306,61.86770118914013
563,"Mchenry County, IL",2021,17111.0,0,0,0,0,73.55943156007419,62.57034427849454
564,"Mchenry County, IL",2022,17111.0,0,0,0,0,71.98514174093562,60.4755085113149
565,"Mchenry County, IL",2023,17111.0,2,0,0,0,71.42746329159925,59.842721587069306
566,"Mchenry County, IL",2024,17111.0,0,0,0,0,72.24024799924318,60.91271859119827
567,"Mclean County, IL",2016,17113.0,1,2,0,0,75.87780595807713,64.56976293730482
568,"Mclean County, IL",2017,17113.0,0,0,0,0,73.618264948242,61.370133257732384
569,"Mclean County, IL",2018,17113.0,0,0,0,0,75.77526294876499,64.10021561585799
570,"Mclean County, IL",2019,17113.0,1,2,0,0,74.54745331464873,62.6333380716804
571,"Mclean County, IL",2020,17113.0,0,0,0,0,75.2300106302952,63.487917993452434
572,"Mclean County, IL",2021,17113.0,0,0,0,0,75.58591614734647,64.39492682001355
573,"Mclean County, IL",2022,17113.0,1,0,0,0,74.82544753255783,62.84598226531675
574,"Mclean County, IL",2023,17113.0,2,5,0,0,73.95152247887927,61.53964020240155
575,"Mclean County, IL",2024,17113.0,2,0,0,0,74.44175861084443,62.6095817209516
576,"Menard County, IL",2016,17129.0,3,8,0,0,77.12271733228854,66.00582698497512
577,"Menard County, IL",2017,17129.0,1,2,0,0,75.07596497468208,62.15260861268039
578,"Menard County, IL",2018,17129.0,2,2,0,0,76.88277948026736,65.1618364467025
579,"Menard County, IL",2019,17129.0,1,1,0,0,75.50160766625851,63.73150088101413
580,"Menard County, IL",2020,17129.0,0,0,0,0,76.20419462280996,64.11799077830918
581,"Menard County, IL",2021,17129.0,1,0,0,0,76.84671797717562,65.3627395337746
582,"Menard County, IL",2022,17129.0,2,0,0,0,76.1290219454384,64.08016443648299
583,"Menard County, IL",2023,17129.0,6,0,0,0,75.2850701208237,62.79112006612352
584,"Menard County, IL",2024,17129.0,2,0,0,0,75.67033700617955,63.99377025217267
585,"Mercer County, IL",2016,17131.0,2,3,0,0,75.7874480241426,64.83065217874353
586,"Mercer County, IL",2017,17131.0,1,2,0,0,74.09658476583586,61.48435007968477
587,"Mercer County, IL",2018,17131.0,0,0,0,0,76.0916545892219,64.54418739521341
588,"Mercer County, IL",2019,17131.0,1,5,0,0,74.43721627995133,63.38025545741873
589,"Mercer County, IL",2020,17131.0,0,0,0,0,75.27511426313318,63.4005944390464
590,"Mercer County, IL",2021,17131.0,0,0,0,0,75.5999599483172,64.21686481273794
591,"Mercer County, IL",2022,17131.0,1,0,0,0,74.93657869120432,63.406588955575806
592,"Mercer County, IL",2023,17131.0,3,0,0,0,74.14141883604803,62.167820168839455
