,County,Year,FIPS,HI Days above 90,HI Hours above 90,HI Days above 104,HI Hours above 104,HI JJA Av. Daily High,HI JJA Av. Daily Low
176,"Dewitt County, IL",2021,17039.0,31,213,2,6,87.01729476629224,67.07016200897856
177,"Dewitt County, IL",2022,17039.0,33,247,4,23,86.76151964831958,66.20270013434924
178,"Dewitt County, IL",2023,17039.0,23,177,5,36,85.71032578915653,64.40348628677572
179,"Dewitt County, IL",2024,17039.0,32,205,2,12,85.74245682630327,65.10813866889067
180,"Douglas County, IL",2016,17041.0,49,280,3,8,88.32303637786103,68.158113079879
181,"Douglas County, IL",2017,17041.0,34,180,0,0,86.01464202976554,65.03233940204576
182,"Douglas County, IL",2018,17041.0,50,350,1,1,88.03928227637653,67.7599411758066
183,"Douglas County, IL",2019,17041.0,36,216,4,11,86.25217563884894,66.20290957811612
184,"Douglas County, IL",2020,17041.0,30,186,1,1,87.0585996606742,66.85581452391922
185,"Douglas County, IL",2021,17041.0,41,267,3,6,88.22024811093465,67.86453379189432
186,"Douglas County, IL",2022,17041.0,33,296,3,20,87.70470334392986,67.26975968484061
187,"Douglas County, IL",2023,17041.0,27,198,5,37,86.38132249369878,64.90686907365391
188,"Douglas County, IL",2024,17041.0,34,204,2,9,86.17352507681399,65.01381006970381
189,"Dupage County, IL",2016,17043.0,25,147,1,3,84.7846351580921,65.51568207112142
190,"Dupage County, IL",2017,17043.0,15,75,0,0,81.08534379523275,62.34538629507528
191,"Dupage County, IL",2018,17043.0,33,225,5,15,84.09480171197023,64.92413749896328
192,"Dupage County, IL",2019,17043.0,23,146,2,8,82.74378120101677,63.52119870452119
193,"Dupage County, IL",2020,17043.0,25,153,1,1,85.3950976283592,65.28300270445948
194,"Dupage County, IL",2021,17043.0,24,144,1,4,85.17100556617962,66.02580370878496
195,"Dupage County, IL",2022,17043.0,19,120,2,8,83.07688938054147,64.09263224023472
196,"Dupage County, IL",2023,17043.0,15,119,3,23,82.59532376288597,62.85759410691235
197,"Dupage County, IL",2024,17043.0,23,147,2,6,83.83387732601504,64.14554640809665
198,"Edgar County, IL",2016,17045.0,47,275,3,6,88.31813197720972,68.34523519393485
199,"Edgar County, IL",2017,17045.0,29,152,0,0,85.50751526205879,65.02390521320372
200,"Edgar County, IL",2018,17045.0,54,352,1,1,88.04294707787164,68.19290254309959
201,"Edgar County, IL",2019,17045.0,34,209,4,9,86.32789954574358,66.44812560462233
202,"Edgar County, IL",2020,17045.0,35,196,0,0,87.3166444011028,67.40454621310737
203,"Edgar County, IL",2021,17045.0,42,275,3,4,88.47061098477522,68.36271477050948
204,"Edgar County, IL",2022,17045.0,33,292,4,20,87.65360152191877,67.36361890569367
205,"Edgar County, IL",2023,17045.0,26,199,5,34,86.3391175008079,65.31880331026157
206,"Edgar County, IL",2024,17045.0,32,191,2,7,86.04240056755535,65.13108524326388
207,"Edwards County, IL",2016,17047.0,69,503,6,13,92.34926100538037,71.95498045217046
208,"Edwards County, IL",2017,17047.0,47,283,3,4,88.10376953834307,68.38813400067565
209,"Edwards County, IL",2018,17047.0,78,527,2,3,90.70665306655015,70.88617163810667
210,"Edwards County, IL",2019,17047.0,57,360,2,4,88.83313348574794,69.0786322154087
211,"Edwards County, IL",2020,17047.0,50,330,1,4,89.83373082427336,70.16423639162174
212,"Edwards County, IL",2021,17047.0,53,436,2,3,91.20223255763331,71.30887014095063
213,"Edwards County, IL",2022,17047.0,47,414,9,45,90.79034985793405,70.05141813498938
214,"Edwards County, IL",2023,17047.0,41,311,9,60,89.42904254053518,68.45202237336649
215,"Edwards County, IL",2024,17047.0,47,344,1,6,89.40987029328492,68.11204308986704
216,"Effingham County, IL",2016,17049.0,59,409,3,13,90.4686602806287,70.03408931471698
217,"Effingham County, IL",2017,17049.0,42,236,2,5,87.68385247785699,67.01222241761495
218,"Effingham County, IL",2018,17049.0,66,441,1,1,89.61454001790273,69.45259444304175
219,"Effingham County, IL",2019,17049.0,50,291,4,7,87.57481989365628,68.04144305429207
220,"Effingham County, IL",2020,17049.0,43,257,1,2,88.32364992572633,68.61264355277729
221,"Effingham County, IL",2021,17049.0,53,365,2,4,89.8219248104816,69.6824770771709
222,"Effingham County, IL",2022,17049.0,41,364,5,25,89.39617761947339,68.61496594082696
223,"Effingham County, IL",2023,17049.0,31,259,8,57,88.2986519221263,67.16136380875474
224,"Effingham County, IL",2024,17049.0,43,285,2,8,88.07429828350871,66.99528045483108
225,"Fayette County, IL",2016,17051.0,59,435,3,16,90.94071465424527,70.41889382196686
226,"Fayette County, IL",2017,17051.0,42,255,3,5,88.06887506102048,67.24827963545137
227,"Fayette County, IL",2018,17051.0,65,456,1,4,89.83424879256673,69.68920318869125
228,"Fayette County, IL",2019,17051.0,49,300,4,7,87.81849120635403,68.20666243532753
229,"Fayette County, IL",2020,17051.0,43,267,1,2,88.63163124251064,68.7082347833822
230,"Fayette County, IL",2021,17051.0,53,369,2,4,89.94534800599612,69.8079832435215
231,"Fayette County, IL",2022,17051.0,43,386,6,25,89.77760460430844,68.92725927351131
232,"Fayette County, IL",2023,17051.0,34,281,8,64,88.66761705211997,67.42491896221999
233,"Fayette County, IL",2024,17051.0,46,303,2,9,88.59743093227999,67.46595232742406
234,"Ford County, IL",2016,17053.0,40,210,1,6,87.12326044113169,66.84411497492424
235,"Ford County, IL",2017,17053.0,29,139,1,1,84.73831172881195,64.16159278579885
236,"Ford County, IL",2018,17053.0,44,302,2,3,87.00208787015272,66.77096204282249
237,"Ford County, IL",2019,17053.0,28,184,4,15,85.67847371445889,65.12123989791701
238,"Ford County, IL",2020,17053.0,29,185,1,1,87.11604092024514,66.47366479323388
239,"Ford County, IL",2021,17053.0,30,173,2,6,86.35404955807678,66.58765072497299
240,"Ford County, IL",2022,17053.0,30,219,4,15,86.36901900034995,65.77999471129529
241,"Ford County, IL",2023,17053.0,23,157,3,24,84.8920371591958,63.58297443924461
242,"Ford County, IL",2024,17053.0,30,183,2,10,85.00030116907469,64.53172115224069
243,"Franklin County, IL",2016,17055.0,73,574,8,24,93.34339926266036,73.21051651040774
244,"Franklin County, IL",2017,17055.0,50,367,5,11,89.42072689932208,70.16974210038967
245,"Franklin County, IL",2018,17055.0,81,574,4,5,91.51183717880558,71.93930247940808
246,"Franklin County, IL",2019,17055.0,66,427,4,9,89.85776536816478,70.64432852448083
247,"Franklin County, IL",2020,17055.0,53,374,1,4,90.645939664025,71.43226624190648
248,"Franklin County, IL",2021,17055.0,54,441,2,5,91.30304940447806,71.8199577100927
249,"Franklin County, IL",2022,17055.0,53,510,14,66,92.10159788031133,71.65690878196784
250,"Franklin County, IL",2023,17055.0,47,382,11,78,90.88428659516985,70.13464089958306
251,"Franklin County, IL",2024,17055.0,53,421,6,19,90.56047111587961,69.64502947164499
252,"Fulton County, IL",2016,17057.0,55,343,3,23,89.95625163660989,68.80653629227267
253,"Fulton County, IL",2017,17057.0,36,213,4,9,86.5466232969433,64.39348618733484
254,"Fulton County, IL",2018,17057.0,59,416,6,13,89.21435086390527,67.51628549793848
255,"Fulton County, IL",2019,17057.0,39,245,3,9,86.81391019695711,66.50530668674399
256,"Fulton County, IL",2020,17057.0,35,243,1,2,88.117912604946,66.84339318682044
257,"Fulton County, IL",2021,17057.0,37,252,5,13,87.96179672759199,67.11713900842645
258,"Fulton County, IL",2022,17057.0,37,270,5,27,87.48578610594124,66.29785146035567
259,"Fulton County, IL",2023,17057.0,28,230,8,58,87.02718013548633,65.20221149251877
260,"Fulton County, IL",2024,17057.0,38,268,3,19,87.43603067001996,66.27624836511863
261,"Gallatin County, IL",2016,17059.0,73,582,6,17,93.45871113488082,72.96184121447814
262,"Gallatin County, IL",2017,17059.0,48,343,1,4,89.05955972902304,69.36657159786216
263,"Gallatin County, IL",2018,17059.0,84,571,3,11,91.86642749376298,71.67766525543452
264,"Gallatin County, IL",2019,17059.0,65,448,3,6,89.82581615012232,69.90291563222608
265,"Gallatin County, IL",2020,17059.0,57,370,1,4,90.47388055753,70.80799382889644
266,"Gallatin County, IL",2021,17059.0,56,427,3,6,91.37728819585837,71.31554025332301
267,"Gallatin County, IL",2022,17059.0,53,496,10,50,91.9900799241797,71.29577103758527
268,"Gallatin County, IL",2023,17059.0,43,341,11,74,90.2243405357905,69.0077228065993
269,"Gallatin County, IL",2024,17059.0,56,402,6,6,90.5957965018496,68.84204737782233
270,"Greene County, IL",2016,17061.0,58,446,6,28,91.25733077268742,70.31822263709532
271,"Greene County, IL",2017,17061.0,41,256,3,12,87.8766022227591,66.24121613888757
272,"Greene County, IL",2018,17061.0,61,445,4,11,90.03184496050343,68.97044333849831
273,"Greene County, IL",2019,17061.0,53,317,3,6,87.68273257982841,67.69662133050501
274,"Greene County, IL",2020,17061.0,45,286,1,1,88.85448386721598,67.97603047293464
275,"Greene County, IL",2021,17061.0,47,338,4,11,89.73035108997045,68.85866538165024
276,"Greene County, IL",2022,17061.0,45,374,10,42,89.5266713537925,68.0769894770047
277,"Greene County, IL",2023,17061.0,35,302,8,74,88.91712008065188,67.08005692113701
278,"Greene County, IL",2024,17061.0,42,310,3,14,88.66772279934956,67.53989151238702
279,"Grundy County, IL",2016,17063.0,35,195,1,6,86.5543015568907,66.54026445311641
280,"Grundy County, IL",2017,17063.0,24,118,0,0,83.04491303636573,63.14595250295069
281,"Grundy County, IL",2018,17063.0,41,285,4,14,86.41129231869505,66.05557846533259
282,"Grundy County, IL",2019,17063.0,29,181,2,10,84.78005198707804,64.64839281931931
283,"Grundy County, IL",2020,17063.0,29,189,1,2,86.74027860605908,65.92091676509783
284,"Grundy County, IL",2021,17063.0,32,172,2,7,86.44815086307683,66.75472096037612
285,"Grundy County, IL",2022,17063.0,26,175,5,14,85.1831136331514,65.03937398416915
286,"Grundy County, IL",2023,17063.0,19,149,3,27,84.7841987392188,63.54962993743648
287,"Grundy County, IL",2024,17063.0,30,186,2,9,85.14917543354278,64.83879409913914
288,"Hamilton County, IL",2016,17065.0,69,540,8,20,93.19380376515052,72.36723665859033
289,"Hamilton County, IL",2017,17065.0,50,337,3,8,89.01018165921754,69.17510830656498
290,"Hamilton County, IL",2018,17065.0,81,563,3,6,91.33489867309088,71.19093380856809
291,"Hamilton County, IL",2019,17065.0,61,407,2,6,89.64755536302054,69.73880939655236
292,"Hamilton County, IL",2020,17065.0,54,362,1,4,90.44603039361228,70.52320448827099
293,"Hamilton County, IL",2021,17065.0,57,434,3,4,91.27384211747925,71.29067589090826
294,"Hamilton County, IL",2022,17065.0,53,479,13,55,91.69635409230825,70.62865295428733
295,"Hamilton County, IL",2023,17065.0,43,349,11,73,90.40155700154351,69.10754489949414
296,"Hamilton County, IL",2024,17065.0,51,389,4,9,90.19288502131586,68.56643382518783
297,"Hancock County, IL",2016,17067.0,55,376,5,24,90.20546906793945,69.3098909954876
298,"Hancock County, IL",2017,17067.0,39,240,5,13,87.68636547827869,65.41046707577804
299,"Hancock County, IL",2018,17067.0,62,441,2,6,89.93842521249799,68.61479090868485
300,"Hancock County, IL",2019,17067.0,46,292,2,8,87.12243773367561,67.45045432408368
301,"Hancock County, IL",2020,17067.0,38,275,2,3,88.4704465297088,67.3111070224726
302,"Hancock County, IL",2021,17067.0,39,273,5,15,88.42654196352692,67.66772364780918
303,"Hancock County, IL",2022,17067.0,44,318,4,24,88.50059603673745,67.18235470212616
304,"Hancock County, IL",2023,17067.0,35,266,8,65,87.78439028846145,66.32766093365267
305,"Hancock County, IL",2024,17067.0,39,281,4,19,88.02576501172382,66.88800902005642
306,"Hardin County, IL",2016,17069.0,75,589,6,14,93.49915310737666,73.09240928916677
307,"Hardin County, IL",2017,17069.0,48,349,3,7,89.24206890882697,69.43097302588946
308,"Hardin County, IL",2018,17069.0,87,582,4,16,92.11213082041586,71.78021073116119
309,"Hardin County, IL",2019,17069.0,69,466,2,5,89.8307877488242,70.09343609429393
310,"Hardin County, IL",2020,17069.0,59,377,1,2,90.59532650047171,70.90491257277736
311,"Hardin County, IL",2021,17069.0,56,418,3,4,91.21628137429246,71.27903044702535
