,State Name,county Name,Year,Month,State Code,County Code,Avg AQI,Category,Min AQI,Max AQI,Days with AQI >50,Monthly Mode DP (AQI>50),DP as NO2 (AQI>50),DP as Ozone (AQI>50),DP as PM10 (AQI>50),DP as PM2.5 (AQI>50),Days with AQI >100,Monthly Mode DP (AQI>100),DP as NO2 (AQI>100),DP as Ozone (AQI>100),DP as PM10 (AQI>100),DP as PM2.5 (AQI>100)
168,Illinois,Champaign,2023,10,17,19,40.32258064516129,Good,21,70,10.0,PM2.5,0.0,3.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0
169,Illinois,Champaign,2023,11,17,19,40.166666666666664,Good,26,56,7.0,PM2.5,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0
170,Illinois,Champaign,2023,12,17,19,35.74193548387097,Good,20,63,5.0,PM2.5,0.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0
171,Illinois,Champaign,2024,1,17,19,36.225806451612904,Good,18,56,2.0,PM2.5,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
172,Illinois,Champaign,2024,2,17,19,44.6551724137931,Good,21,96,11.0,PM2.5,0.0,0.0,0.0,11.0,0.0,0,0.0,0.0,0.0,0.0
173,Illinois,Champaign,2024,3,17,19,43.225806451612904,Good,32,58,8.0,PM2.5,0.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
174,Illinois,Champaign,2024,4,17,19,43.63333333333333,Good,33,67,5.0,Ozone,0.0,4.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
175,Illinois,Champaign,2024,5,17,19,53.58064516129032,Moderate,33,87,15.0,Ozone,0.0,14.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
176,Illinois,Champaign,2024,6,17,19,57.166666666666664,Moderate,38,100,16.0,Ozone,0.0,14.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
177,Illinois,Champaign,2024,7,17,19,50.225806451612904,Moderate,37,84,16.0,PM2.5,0.0,4.0,0.0,12.0,0.0,0,0.0,0.0,0.0,0.0
178,Illinois,Champaign,2024,8,17,19,46.45161290322581,Good,25,64,14.0,PM2.5,0.0,0.0,0.0,14.0,0.0,0,0.0,0.0,0.0,0.0
179,Illinois,Champaign,2024,9,17,19,44.53333333333333,Good,25,100,7.0,Ozone,0.0,6.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
180,Illinois,Champaign,2024,10,17,19,46.03225806451613,Good,24,80,11.0,PM2.5,0.0,3.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0
